Trial,Emotion,Congruent,Incongruent,StimTime_s,StimEnd_s,Baseline200ms,PeakDelta,PeakTime_s,HasBaselineWindow,HasPostWindow,DeltaHasData,DeltaAllNaN,Evaluable,DropReason
1,HA,0,1,16.8500712999841,19.6000712999841,434.67444343291,23.6293071948534,0.163928700015884,1,1,1,0,1,
2,HA,1,0,24.0004688999914,26.7504688999914,342.418155555761,72.2929756471436,2.74353110000864,1,1,1,0,1,
3,AN,0,1,28.7502397000166,31.5002397000166,401.146048285743,68.2904393743403,2.74376029998344,1,1,1,0,1,
4,AN,1,0,33.4972055999897,36.2472055999897,422.367792372858,27.3618988623336,2.74679440001026,1,1,1,0,1,
5,HA,0,1,39.0491610999992,41.7991610999992,404.560555350954,102.495669391675,2.74483890000079,1,1,1,0,1,
6,AN,0,1,44.2004826000268,46.9504826000268,376.468288543802,74.6306827388219,2.28351739997323,1,1,1,0,1,
7,HA,0,1,49.350157499996,52.100157499996,382.336802264423,89.0933289636728,2.50384250000398,1,1,1,0,1,
8,AN,0,1,54.1002908000564,56.8502908000564,327.903169260634,116.273717130343,2.51370919994358,1,1,1,0,1,
9,AN,0,1,59.6506591999978,62.4006591999978,378.803648442485,24.6864434175705,1.59334080000222,1,1,1,0,1,
10,HA,1,0,65.1994988999413,67.9494988999413,355.687678314952,84.2209731628188,2.31450110005868,1,1,1,0,1,
11,AN,0,1,71.1496185999447,73.8996185999447,340.900330719365,30.0209827280669,1.35438140005526,1,1,1,0,1,
12,HA,0,1,76.2984488999555,79.0484488999555,344.131296463943,19.9096521780242,2.74555110004452,1,1,1,0,1,
13,HA,0,1,83.8491323000602,86.5991323000602,345.581222232256,11.2228126061835,0.214867699939759,1,1,1,0,1,
14,HA,0,1,88.6005082000131,91.3505082000131,393.512148843748,2.36439452947263,0.00349179998691795,1,1,1,0,1,
15,HA,1,0,93.3455824999493,96.0955824999493,345.82840758343,66.8057337796488,1.98841750005074,1,1,1,0,1,
16,AN,1,0,98.8999715999318,101.649971599932,330.648219183606,21.495727291102,2.67402840006817,1,1,1,0,1,
